,Countries,GDP(Billion USD)
0,United States,30507.22
1,China,19231.71
2,Germany,4744.8
3,India,4187.02
4,Japan,4186.43
5,United Kingdom,3839.18
6,France,3211.29
7,Italy,2422.86
8,Canada,2225.34
9,Brazil,2125.96
10,Russia,2076.4
11,Spain,1799.51
12,South Korea,1790.32
13,Australia,1771.68
14,Mexico,1692.64
15,Turkey,1437.41
16,Indonesia,1429.74
17,Netherlands,1272.01
18,Saudi Arabia,1083.75
19,Poland,979.96
20,Switzerland,947.12
21,Taiwan,804.89
22,Belgium,684.86
23,Argentina,683.53
24,Sweden,620.3
25,Ireland,598.84
26,Israel,583.36
27,Singapore,564.77
28,United Arab Emirates,548.6
29,Thailand,546.22
30,Austria,534.3
31,Norway,504.28
32,Philippines,497.5
33,Vietnam,490.97
34,Bangladesh,467.22
35,Denmark,449.94
36,Malaysia,444.98
37,Colombia,427.77
38,Hong Kong,424.0
39,South Africa,410.34
40,Romania,403.4
41,Czech Republic,360.24
42,Egypt,347.34
43,Chile,343.82
44,Iran,341.01
45,Portugal,321.44
46,Finland,303.94
47,Peru,303.29
48,Kazakhstan,300.54
49,Algeria,268.88
50,Greece,267.35
51,Iraq,258.02
52,New Zealand,248.67
53,Hungary,237.07
54,Qatar,222.78
55,Ukraine,205.74
56,Nigeria,188.27
57,Morocco,165.84
58,Kuwait,153.1
59,Slovakia,147.03
60,Uzbekistan,132.48
61,Kenya,131.67
62,Dominican Republic,127.83
63,Ecuador,125.68
64,Puerto Rico,122.52
65,Guatemala,121.18
66,Ethiopia,117.46
67,Bulgaria,117.01
68,Angola,113.34
69,Venezuela,108.51
70,Oman,104.35
71,Costa Rica,102.59
72,Croatia,98.95
73,Luxembourg,96.61
74,Ivory Coast,94.48
75,Serbia,92.55
76,Panama,91.68
77,Lithuania,89.19
78,Turkmenistan,89.05
79,Ghana,88.33
80,Tanzania,85.98
81,Uruguay,79.73
82,DR Congo,79.12
83,Azerbaijan,78.87
84,Slovenia,75.22
85,Belarus,71.56
86,Myanmar,64.94
87,Uganda,64.28
88,Bolivia,56.34
89,Tunisia,56.29
90,Jordan,56.1
91,Cameroon,56.01
92,Macau,53.35
93,Cambodia,49.8
94,Bahrain,47.83
95,Libya,47.48
96,Nepal,46.08
97,Latvia,45.54
98,Paraguay,45.46
99,Estonia,45.0
100,Cyprus,38.74
101,Honduras,38.17
102,Zimbabwe,38.17
103,El Salvador,36.75
104,Georgia,35.35
105,Iceland,35.31
106,Senegal,34.73
107,Haiti,33.55
108,Papua New Guinea,32.84
109,Sudan,31.51
110,Guinea,30.09
111,Zambia,28.91
112,Bosnia and Herzegovina,28.81
113,Albania,28.37
114,Burkina Faso,27.06
115,Trinidad and Tobago,26.47
116,Armenia,26.26
117,Guyana,25.82
118,Mongolia,25.8
119,Malta,25.75
120,Mozambique,23.77
121,Mali,23.21
122,Benin,22.24
123,Niger,21.87
124,Jamaica,21.41
125,Nicaragua,21.16
126,Gabon,20.39
127,Kyrgyzstan,19.85
128,Moldova,19.46
129,Botswana,19.4
130,Chad,18.79
131,Madagascar,18.71
132,Palestine,18.6
133,North Macedonia,17.89
134,Yemen,17.4
135,Laos,16.32
136,Brunei,16.01
137,Mauritius,15.5
138,Congo,15.28
139,Bahamas,15.18
140,Tajikistan,14.84
141,Rwanda,14.77
142,Namibia,14.21
143,Malawi,13.96
144,Somalia,12.99
145,Equatorial Guinea,12.68
146,Mauritania,11.47
147,Kosovo,11.27
148,Togo,10.02
149,Montenegro,8.56
150,Sierra Leone,8.39
151,Barbados,7.55
152,Maldives,7.48
153,Burundi,6.74
154,Fiji,6.26
155,Eswatini,5.48
156,Liberia,5.17
157,Djibouti,4.59
158,Suriname,4.51
159,Aruba,4.1
160,Andorra,4.04
161,South Sudan,4.0
162,Belize,3.61
163,Bhutan,3.42
164,Central African Republic,2.93
165,Cape Verde,2.79
166,Gambia,2.77
167,Saint Lucia,2.63
168,Lesotho,2.4
169,Antigua and Barbuda,2.37
170,Guinea-Bissau,2.27
171,Seychelles,2.2
172,Timor-Leste,2.12
173,San Marino,2.05
174,Solomon Islands,1.71
175,Comoros,1.55
176,Grenada,1.46
177,Vanuatu,1.27
178,Saint Vincent and the Grenadines,1.24
179,Samoa,1.16
180,Saint Kitts and Nevis,1.13
181,São Tomé and Príncipe,0.86
182,Dominica,0.74
183,Tonga,0.57
184,Micronesia,0.5
185,Palau,0.33
186,Kiribati,0.31
187,Marshall Islands,0.3
188,Nauru,0.17
189,Tuvalu,0.06
